tipe_transaksi                                                                                                                                                                                                                                                 ,id_akun             ,akun_nama                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,arah  ,total_debit                             ,total_kredit                            
BATAL RETUR SUPPLIER                                                                                                                                                                                                                                           ,152.1               ,PPN Masukan POS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,DEBIT ,                            62642934.040,                                    .000
BATAL RETUR SUPPLIER                                                                                                                                                                                                                                           ,153.1               ,Deposit Ke Supplier PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,KREDIT,                                    .000,                           698096259.474
BATAL RETUR SUPPLIER                                                                                                                                                                                                                                           ,250.4               ,Hutang Usaha PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,KREDIT,                                    .000,                             5865136.126
PEMBAYARAN TAGIHAN CUSTOMER                                                                                                                                                                                                                                    ,110.1               ,Deposit Customer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,DEBIT ,                          2732590270.000,                                    .000
PEMBAYARAN TAGIHAN CUSTOMER                                                                                                                                                                                                                                    ,110.2               ,Kas Tunai                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,DEBIT ,                         89898212284.720,                                    .000
PEMBAYARAN TAGIHAN CUSTOMER                                                                                                                                                                                                                                    ,110.8               ,Kas Bank                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,DEBIT ,                          3909171990.000,                                    .000
PEMBAYARAN TAGIHAN CUSTOMER                                                                                                                                                                                                                                    ,125.2               ,Piutang Usaha PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,KREDIT,                                    .000,                         96539974544.720
PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                                    ,110.2               ,Kas Tunai                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,KREDIT,                                    .000,                       1086650898832.448
PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                                    ,110.8               ,Kas Bank                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,KREDIT,                                    .000,                         12342302364.449
PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                                    ,-1107               ,NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,KREDIT,                                    .000,                           833594588.631
PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                                    ,152.1               ,PPN Masukan POS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,DEBIT ,                         32003782133.643,                                    .000
PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                                    ,153                 ,Deposit Ke Supplier                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,KREDIT,                                    .000,                            20392920.625
PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                                    ,153.1               ,Deposit Ke Supplier PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,KREDIT,                                    .000,                          7865159637.603
PEMBAYARAN TAGIHAN SUPPLIER                                                                                                                                                                                                                                    ,250.4               ,Hutang Usaha PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,DEBIT ,                       1075708566210.113,                                    .000
PEMINDAHAN BARANG                                                                                                                                                                                                                                              ,112.2               ,Persediaan Barang PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,KREDIT,                                    .000,                       1111593875176.800
PEMINDAHAN BARANG                                                                                                                                                                                                                                              ,501.2               ,HPP PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,DEBIT ,                       1111593875176.800,                                    .000
PENERIMAAN PEMINDAHAN                                                                                                                                                                                                                                          ,112.2               ,Persediaan Barang PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,DEBIT ,                         31644157426.440,                                    .000
PENERIMAAN PEMINDAHAN                                                                                                                                                                                                                                          ,501.2               ,HPP PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,KREDIT,                                    .000,                         31644157426.440
PENERIMAAN PENGADAAN                                                                                                                                                                                                                                           ,112.2               ,Persediaan Barang PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,DEBIT ,                       1164898405362.180,                                    .000
PENERIMAAN PENGADAAN                                                                                                                                                                                                                                           ,250.4               ,Hutang Usaha PPJ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,KREDIT,                                    .000,                       1164898405362.180
